id,program,milp_used,milp_budget,milp_time_s,milp_rsr,lr_used,lr_budget,lr_time_s,lr_rsr
1,Linear,10,10,0.13,1,10,10,1.52,1
2,Exp,10,10,0.21,1,8,10,2.29,1
3,Exp_min_one,10,10,0.41,1,8,10,2.49,1
4,Exp_divby_x,,,0.48,0,,,92.80,0
5,Exp_divby_x1,10,10,0.29,1,8,10,2.80,1
6,Sum,15,15,0.19,1,10,15,1.84,1
7,Mean,15,15,0.18,1,10,15,2.04,1
8,Tan,15,15,32.77,1,8,10,3.86,1
9,Cot,15,15,28.16,1,12,15,2.83,1
10,Squared_Diff,15,15,45.05,1,13,15,7.08,1
11,Inv_Squared,15,15,0.22,1,12,15,2.28,1
12,Inverse,15,15,0.28,1,15,15,2.25,1
13,Inv_add,15,15,0.18,1,12,15,2.56,1
14,Inv_Cot_Add,15,15,0.78,1,12,15,3.87,1
15,Inv_Tan_Add,30,40,0.46,1,30,40,2.73,1
16,Inv_Sub,15,15,0.30,1,12,15,2.31,1
17,Inv_Sub2,15,15,0.29,1,12,15,2.75,1
18,Cos,15,15,0.29,1,12,15,2.23,1
19,Cosh,15,15,0.25,1,12,15,2.16,1
20,Squared,15,15,0.49,1,13,15,2.29,1
21,Sin,15,15,0.22,1,12,15,2.69,1
22,Sinh,15,15,0.16,1,12,15,2.14,1
23,Cube,15,15,0.26,1,13,15,2.44,1
24,Log,10,10,0.09,1,10,10,1.60,1
25,Sec,50,50,1.31,1,40,50,4.25,1
26,Csc,100,100,13.94,1,52,100,12.70,1
27,Sinc,50,50,16.48,1,12,15,8.95,1
28,Sinc2,15,15,0.12,1,15,15,2.36,1
29,Mod,10,10,0.09,1,10,10,1.68,1
30,Modular_Mult,10,10,0.11,1,10,10,1.62,1
31,Integer_Mult,15,15,0.11,1,15,15,1.59,1
32,Tanh,100,100,27.72,1,16,20,6.83,1
33,Sigmoid,100,100,36.02,0,26,30,6.70,1
34,Softmax_1,15,15,0.36,1,15,15,2.56,1
35,Softmax_2,15,15,0.36,1,15,15,2.20,1
36,Logistic,100,100,34.09,0,12,15,2.33,1
37,Scaled_Logistic,100,100,24.31,1,25,30,6.23,1
38,Square_Loss,15,15,0.49,1,12,15,2.99,1
39,Savage_Loss_library,50,50,26.51,0,16,20,4.03,1
40,Savage_Loss,100,100,14.48,1,40,60,6.23,1
