test_id,number,started,eqs_found,verified,unverified,faulty,unknown,took_time_s,has_rsr
41_arcsin,41,False,0,0,0,0,0,103.06,0
42_arccos,42,False,0,0,0,0,0,7.79,0
51_log1p,51,False,0,0,0,0,0,151.47,0
57_floor,57,False,0,0,0,0,0,154.58,0
58_ceil,58,False,0,0,0,0,0,18.39,0
60_erf,60,False,0,1,0,0,0,30.45,1
